x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.0,73.31511467879264,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,65.90953762659746,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,63.122289587113904,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
2.0,90.01919615736959,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2.0,110.48604326119496,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,92.82961341301443,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
2.0,103.8289155427006,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
3.0,83.21936296448476,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,83.3764298842055,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4.0,69.75162139275892,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4.0,60.93496724368305,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
4.0,72.83795969470161,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
4.0,84.67577407906053,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
4.0,79.48489284118581,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0
4.0,81.69231421020123,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
4.0,84.0015323870956,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0
5.0,77.72212586451998,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
5.0,77.54885706258915,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
5.0,89.63862196779955,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0
6.0,62.067005779878905,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
6.0,52.44788042266907,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
6.0,53.354023520137034,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0
7.0,92.90817060865672,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7.0,92.04072357793498,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
7.0,99.30161848559744,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
7.0,93.13838904047513,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0
7.0,76.51036961661498,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0
7.0,99.20226193049258,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0
7.0,96.42821981528081,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
8.0,71.10831032997488,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,85.19470087466374,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8.0,78.48373543124977,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
8.0,87.73764864163941,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
