algorithm,case,n,RMSE_w1,RMSE_w2,RMSE_μ1,RMSE_μ2,RMSE_σ1,RMSE_σ2,bias_w1,bias_w2,bias_μ1,bias_μ2,bias_σ1,bias_σ2,median_loglik
EM,1,30,9.294595620511014,9.294595620511016,20.672352816637343,38.519824133398956,14.764416229450951,18.850076972663217,0.0043352315638439665,-0.0043352315638440775,-0.006181522096718795,0.008391953197552432,-0.4028842479311039,0.5222875336383782,-33.04696783721147
EM,1,50,9.449525371300346,9.449525371300346,17.50477122813741,34.28154837589608,12.795314930441185,22.358745609538655,0.0028266152750358042,-0.002826615275035693,-0.021960549966368446,0.042756964058055194,-0.34146470640825277,0.6317776853866487,-57.51893181401945
EM,1,100,9.67364465310584,9.67364465310584,17.444868039253144,28.869063905689885,11.412866714382192,24.90750713927358,-0.005183811719869924,0.005183811719870035,0.003433694625370183,0.03322514464715674,-0.290366534428649,0.7263243067416598,-117.65195585070018
EM,1,150,9.769438598161695,9.769438598161695,15.76546896575218,25.92489590888706,10.528285502988352,26.620040380276745,-0.004952174026450318,0.004952174026450262,-0.00020949254587232397,0.00014502430804827314,-0.26780484383725933,0.7914297537459053,-178.4828450275341
EM,1,200,9.632195537658378,9.632195537658378,14.465440649064245,25.452950641763746,10.152875605318718,27.34135229398367,0.007702082668033738,-0.007702082668033794,0.004804939523429949,0.024859495007791454,-0.2690235411992493,0.82134824396641,-238.15738118292595
EM,1,300,9.652054566688104,9.652054566688104,13.401264433461689,22.869683425124368,9.354172546560907,28.038633242135578,0.0054325592400832345,-0.005432559240083512,0.02561538441113903,-0.07225564400991244,-0.24159339242929256,0.8546252360379285,-359.3237757380583
EM,2,30,2.995825929444845,2.9958259294448446,45.348884211724084,45.324932656447054,3.1293036110479924,3.448140949235345,0.012403111233015074,-0.01240311123301513,1.0182877629154974,-1.021754029629733,-0.02678606277907497,-0.02100161289759067,-35.6879375726717
EM,2,50,2.2794993796389833,2.2794993796389833,45.005361328490096,44.8147690014604,2.554815500671175,2.624466538129758,0.004872903249801053,-0.004872903249801108,1.0090385650193117,-1.0023487600073353,-0.012438070617056263,-0.011417268637078981,-61.10872423984163
EM,2,100,1.6606740388529229,1.6606740388529226,45.018795378999414,45.1671069686476,1.698590513682537,1.7905317155165386,0.006844079959019256,-0.006844079959019256,1.012292023062364,-1.0146893631767047,-0.006582290700730409,-0.006920639634459158,-124.72548832530774
EM,2,150,1.3391681258097425,1.3391681258097425,45.85276457073396,45.89347153923742,1.4431217924815603,1.380262726194757,0.0038628030417027226,-0.0038628030417027226,1.0504806243678733,-1.050260257302312,-0.004042117842645188,-0.004428159473664817,-187.86298216500114
EM,2,200,1.141853313593441,1.1418533135934412,45.10704951278769,45.1888326710006,1.237096436008805,1.1830160936524334,0.0010811042359060163,-0.0010811042359059608,1.0161682519913193,-1.016440999800892,-0.0030666388898789587,-0.0034182454454481093,-251.49120777727342
EM,2,300,0.953077069380326,0.953077069380326,44.0555876051523,44.060173821789455,1.0198194282586412,0.983473033321244,0.0015431663022038578,-0.0015431663022038022,0.9691078212701857,-0.971022056434469,-0.002112317844471856,-0.000849020111840515,-378.8890674834527
EM,3,30,8.746412601133304,8.746412601133304,33.21882439854536,48.012196276546874,16.642630778118114,16.901702778422532,-0.2317102909172284,0.23171029091722845,0.5217173404537683,-1.169521440688469,-0.45138729602198313,0.4574740069624618,-38.65264463965497
EM,3,50,9.020753016455012,9.020753016455012,33.155152702796755,44.83174717029447,16.509252294242646,17.599087958620768,-0.25152365102378055,0.2515236510237805,0.5650599579145591,-1.11089170078473,-0.4454636457568262,0.4896096426917956,-66.61912211680357
EM,3,100,9.011774516222513,9.011774516222513,33.73769739366225,44.49842343917489,16.506606102162483,18.192346919210976,-0.25666737880653206,0.2566673788065321,0.6505065658757554,-1.1060290695394894,-0.44559500308322897,0.5062423797951845,-135.52440618844767
