untuned,tuned
-171.88012538044785,-171.99278979263863
-163.76044551743934,-163.76044544481707
-170.48108972286042,-238.25457661851357
-181.9176418602995,-189.29597747293693
-171.8553512306513,-171.86041173945472
-174.32541612033634,-174.32541610202009
-156.4309944569281,-156.43099551648135
-187.71420959309782,-187.71420932045675
-164.7229639256511,-164.75941262837546
-157.84347391734116,-157.84367657438432
-162.01644905358506,-162.4012155670847
-163.5846899055776,-163.58468980844134
-172.94938104488472,-174.23878613224826
-171.00339692416946,-171.00676275021448
-165.18862023432274,-165.37930559610612
-169.5515296736562,-169.55288366962785
-164.5164979420711,-165.68013160614314
-168.23872874546348,-175.32077399707413
-163.3742539992332,-163.3742534181792
-168.3100891802755,-168.31317715065114
-162.60596124800662,-174.06095668609152
-171.30352163451437,-171.30352142663435
-184.21887547597345,-184.26875909682718
-165.14995469827699,-165.15037377408066
-174.89303727775547,-174.89303699620444
-171.62141819160635,-171.62141805210706
-166.5116460441057,-169.79509869797434
-178.21737813358834,-178.21737804929018
-159.5762745644928,-159.5771788435244
-164.4843700830544,-164.4843698851787
-176.04039387905587,-176.04585757634777
-182.3900090465041,-182.3900088447145
-178.9354924153168,-275.071789812977
-174.35806988510973,-174.35806928827242
-179.49241625238628,-182.11969576982233
-183.49374683304677,-183.49374639044896
-156.4755721567189,-301.0816718305644
-168.1242954849859,-168.14919458063642
-174.093745310031,-174.305646074207
-155.14363607633962,-159.81100402446998
-168.5045315498245,-168.5123461568901
-169.94289587599064,-203.93180158251488
-168.38000100794835,-239.61139390104648
-174.45675279880652,-174.45783617134504
-166.48559793929167,-166.48560366042244
-137.41015930070728,-139.24603589080095
-160.2018225049211,-160.20893828522563
-166.98474585504925,-250.93731556049693
-156.07539715314545,-308.7061950966115
-166.56692108027465,-285.4920271539957
-177.3967488059248,-188.11798216188132
-168.44854537304755,-168.46099588885136
-166.4176706815739,-166.42060774325108
-165.0809088674609,-165.0810413479498
-144.68164826788424,-145.2299896591346
-151.71050963285757,-151.7105095461987
-155.58760179453634,-284.3642502819765
-166.37609907032336,-166.39322458130522
-157.74684655905406,-172.86775973521372
-167.4794667064005,-167.47946579843847
-156.18013903207094,-168.72030882745491
-159.09609974795603,-159.0960998402913
-165.2812069746035,-165.29500665709276
-152.75757486323573,-152.77083296737524
-176.50570797214812,-176.55595561255825
-180.11534742817105,-284.45348987243597
-162.94016022815788,-163.46917837695034
-171.6962717075652,-171.69681692594224
-162.4395818428579,-162.43956930704687
