untuned,tuned
-189.0747302338894,-263.6900844367868
-375.205896564823,-173.51482788126745
-195.03481830506942,-179.37675999400363
-370.2660033830359,-370.5645185381754
-372.06988731034977,-354.3535063644281
-188.92803422554465,-223.06247611829582
-378.044367280042,-194.22117582191208
-195.29388531529872,-185.61972377470585
-370.08488190676917,-368.38063871217497
-223.44963342294983,-367.8970033214717
-199.75570722981433,-294.0125209642377
-377.47394047211026,-379.6003462535
-279.66710640477754,-372.937542207756
-373.6637391674808,-159.7706259620096
-204.6195970898749,-193.1633986726248
-370.66577388283577,-370.10755528913705
-382.40351398291403,-316.68816381521117
-193.62896529959977,-375.0702873336904
-168.65838668453722,-199.76160169961088
-183.95127793701704,-374.0311961036469
-273.8780602862092,-190.45008545069976
-378.0396298464375,-244.34320890633717
-199.37369902016172,-179.8304491063214
-376.5485844119949,-378.91203341553387
-188.96610496704108,-377.8583083183287
-192.061321155053,-367.9781132963008
-382.1847851696152,-186.18609294102617
-377.49628971908663,-270.29846693723505
-377.23248523751977,-261.0830002059881
-203.87937600001925,-188.02880010887282
-376.382990983435,-379.4658424758375
-182.26053997009498,-369.8473547158462
-372.1596607923791,-237.8333462919601
-225.1720765647945,-180.07390667198172
-210.1680734121959,-195.5098149033754
-226.65596260659493,-370.4293848609999
-259.7400840168642,-209.3098188584462
-370.9577318667883,-373.4366254474145
-377.8256144330241,-218.72870412694743
-376.6087802086472,-192.28973586596442
-207.53232343833582,-377.1124994737808
-278.1020950295157,-176.7658230206139
-376.4990026424285,-255.0484179081441
-258.3529993063563,-373.24150186134557
-372.8506441532129,-370.6713955929291
-152.9336689466736,-251.96010315070345
-159.28488187840475,-362.6456818845349
-203.831877241585,-375.38743631190636
-196.64662521125825,-380.22570652067253
-365.5451096115485,-367.5672491025763
-373.2840583805993,-158.74255242216935
-183.14535779400074,-262.0582806957892
-372.9287173514145,-252.30511204633564
-189.3660261984897,-372.65010618274397
-372.5730436600905,-266.73297671236946
-374.28481764836846,-179.61806326749115
-167.7259912036791,-170.00125782453134
-186.6741177478363,-186.68036718869814
-243.43332639111907,-185.33269842125287
-230.5529991377613,-190.45673153180485
-175.4486183049672,-376.03458173596374
-202.42425091326407,-375.12901434380075
-255.0051298485946,-367.7539383581577
-242.41130382858086,-368.3396170787247
-376.1811922021658,-370.92239028916475
-366.7164545193602,-213.25943426813728
-198.86529603113183,-191.80730432058198
-191.7459953316898,-263.2198880526141
-373.6042577824437,-375.6043067912051
-238.91166458063756,-162.3445896816266
-201.9097161827224,-230.44381733140747
-377.00937840675005,-198.65029181841862
-376.8954720425893,-192.85120688524913
-374.18218427571367,-251.89200741158766
-376.8630848894709,-225.48997924443955
-260.8300973129449,-375.5765883961451
-214.55024055627945,-368.45913949863484
-245.77942269157012,-174.33898870579668
-253.23968407433154,-188.0041716297458
-217.6839022609167,-217.68398358125563
-205.29586241857203,-365.15898496708195
-376.54660927172716,-376.54756181623696
-374.3249302358894,-377.36327222697935
-191.51703506261862,-272.47247711932073
-262.9416611530574,-262.9416614752057
-253.33874842082614,-196.67093139129616
-187.72217385161423,-188.52796143139096
-378.6754840175159,-197.66252952942588
-185.41170707069335,-188.93296739808517
-256.1309377572374,-259.1147994491046
-375.4968004994275,-262.8940487427792
-198.3184529648263,-198.31845933391645
-215.45124919294588,-360.7367399885919
-198.05745548824177,-379.39634385247405
-381.11888517843,-197.7985338324737
-360.66465260338316,-194.49664854282588
-337.0652443782866,-352.0927472343932
-251.50520904676097,-354.31434320437205
-172.24596465759402,-378.44905154402323
-182.91263150738513,-377.51207286027346
-243.36483344888097,-378.49706867649417
-374.14622817180066,-249.8531979699468
-259.8801015655615,-375.19581401636486
-367.3821136377851,-192.2745087789752
-198.11412285330368,-376.37373810882616
-186.62752909487116,-195.3162821652826
-357.29798809692375,-364.7576778783101
-241.49637552848947,-181.88085845386877
-229.48886890381777,-164.97069678016135
-373.7157385900807,-178.66712528498647
-193.91106303720915,-368.1491199779362
-378.36828665673966,-192.0307140998337
-195.83447643088556,-262.057710531434
-240.13370976256397,-228.03642534714328
-380.22859881191494,-380.2293901513224
-372.33023814425144,-247.04996561883516
-189.04916960745047,-166.35597028687698
-370.4916166490886,-187.48444838183494
-186.71575593576586,-180.57747883550945
-192.88448846683758,-379.95373372586346
-185.4038167486973,-376.0282614534898
-238.60358727289287,-187.60388370440967
-181.0470647065542,-262.3305361985471
-197.86839663583396,-248.20888399552194
-197.33125833303188,-196.97192602585844
-192.72161725749606,-381.51158026684584
-254.72896500524246,-228.11313049072666
-159.7772338346623,-373.1157320258945
-181.95316288952225,-214.2275999613854
-159.56725824049863,-377.23114275367084
-375.8403105730873,-372.911393908691
-198.13164723972127,-381.9254471520701
-363.94368838746755,-177.91447357750155
-187.48702292314272,-377.95363407024746
-252.19627495386527,-377.0200136883982
-303.38967580437713,-370.5572876254482
-368.30167752758,-226.21697502553326
-189.8156513701955,-189.81571797745764
-298.3863200446149,-163.4928195290584
-240.31874801339274,-373.50749298605257
-205.0654581341086,-274.2749330444166
-282.85503989344863,-166.21501617580316
-251.31414432775873,-163.02448656173104
-372.0399597024492,-246.427948843757
-181.678685757347,-308.75907361043505
-253.19834537276338,-375.827058568888
-190.94668039110326,-186.23543521425484
-245.2018877542167,-214.51000782292624
-178.5989179672669,-268.27102175535833
-212.99121181487993,-165.38518894118627
-370.2226748260694,-370.22516626429496
-181.67219433487062,-250.0672841790347
-185.0261438071767,-173.1346314315884
-167.85431072738163,-167.8543364939934
-200.3106638301292,-171.95288725819822
-270.00880387230416,-176.33326907138925
-373.16513134477196,-192.23223024929945
-196.081932098896,-178.81351153047916
-202.43039569490483,-175.25469226683975
-226.9553097656626,-374.6754601210052
